trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.09, 'e': 0.48989027300420523}",20,0,-22.82419485485742,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
72,False,"{'a': 0.09, 'e': 0.48499137027416317}",30,0,-104.37679026866039,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
73,False,"{'a': 0.09, 'e': 0.48014145657142154}",20,0,-57.90761484917472,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.09, 'e': 0.47534004200570734}",20,10,-27.84595453896748,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
75,False,"{'a': 0.09, 'e': 0.4705866415856503}",20,3,9.634305818552752,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.09, 'e': 0.46588077516979376}",25,0,-25.886382059727495,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
77,False,"{'a': 0.09, 'e': 0.46122196741809585}",20,0,-16.93552631742398,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
78,False,"{'a': 0.09, 'e': 0.4566097477439149}",20,0,-48.79378999715821,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
79,False,"{'a': 0.09, 'e': 0.45204365026647575}",20,9,0.05232250126233584,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.09, 'e': 0.447523213763811}",30,11,-52.94322454483231,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
81,False,"{'a': 0.09, 'e': 0.44304798162617287}",20,6,-12.387642958644381,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.09, 'e': 0.43861750180991116}",20,0,-18.246461029523672,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
83,False,"{'a': 0.09, 'e': 0.43423132679181203}",30,0,-51.20653577584208,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
84,False,"{'a': 0.09, 'e': 0.4298890135238939}",35,19,2.661083697404208,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.09, 'e': 0.425590123388655}",25,5,24.48940786930494,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.09, 'e': 0.42133422215476846}",30,0,-46.67510267804753,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
87,False,"{'a': 0.09, 'e': 0.4171208799332208}",25,7,8.847744113526636,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.09, 'e': 0.4129496711338886}",25,10,-21.512644126102536,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.09, 'e': 0.4088201744225497}",25,0,-59.20112707577347,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
90,False,"{'a': 0.09, 'e': 0.4047319726783242}",30,18,9.299403371510202,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.09, 'e': 0.400684652951541}",20,0,-19.539906963228482,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
92,False,"{'a': 0.09, 'e': 0.3966778064220256}",30,0,-33.278475330048614,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
93,False,"{'a': 0.09, 'e': 0.39271102835780536}",25,0,-29.02111483625746,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
94,False,"{'a': 0.09, 'e': 0.3887839180742273}",25,0,-27.502465301789606,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
95,False,"{'a': 0.09, 'e': 0.38489607889348504}",20,0,31.070688568225055,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.09, 'e': 0.38104711810455016}",20,16,8.71416419656114,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.09, 'e': 0.37723664692350467}",25,7,-26.443084541757962,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
